,name,reviews,score,year,month,day,label,sentiment,percent
0,강현귀,리뷰 수정해서 올립니다 일단 다른 게임에서도 광고가 나오는데 거의 대부분이 탕탕특공대 광고 거든요 광고에 피드백도 엄청나게 보냈는데 그냥 무시하는거 같아서 넘 짜증났어요 광고에 질리지 않는 게임이라고 적혀있는데 정말 질리는 광고네요 광고가 너무 지겨워서 다른 광고가 반가울 정도입니다 단점만 가득합니다 장점따위는 없는것 같아요 광고 나오는 개수만 줄여주시면 리뷰 다시 올리겠습니다,1,2023,5,13,0,부정,[0.97380203]
1,천사천사,별 점 주기도 아깝습니다 이유 말해드림 개선좀 부탁 싫은 이유허위광고가 너무 심함 스트레스가 풀리지도 않고 좋은 무기가 많이 안뜸 개인적으로 제일 개선했음 하는 부분재밌다는 반복되는 광고를 만듬피드백을 계속 넣어도 개선이 안됌 솔직히 이 게임은 광고에 불만이 참 많음 광고만 조금 고치면 재밌게 할듯 합니다,1,2023,5,12,0,부정,[0.97918385]
2,야털자,급 아이템 뽑기 메뉴에서 특정 부위 아이템을 설정하는 기능이 있는데 오류 이거나 사기 인것 같습니다 중국산 게임인데 싱가폴 연락처로 표시한 것도 의심스럽네요 위에 기능 안됩니다 여전히 회 뽑기 했을 때 급 아이템은 나오지만 설정한 아이템은 나오지 않고 랜덤으로 나옵니다 회 뽀기 하려면 만원에서 만원 가까이 지불해야하는데 이렇게 만들어 놓고 검증도 안하는 것인지 모르는 척하는 것인지 모르겠네요 메일로 오류 발송했으나 수신확인 메일이라도 보내줘야 하지 않을까요 실체가 있는 회사는 맞습니까 개발팀 연락처 구라네요 장난합니까 환불 요청했더니                              이런 답변 몇번이나 재설정하고 돌렀는데,1,2023,4,28,0,부정,[0.8382859]
3,dd d,자꾸 광고에 나오길래 깔았더니 역시 뱀파이어 서바이벌 짭퉁게임 답게 벨런스 하나도안맞고 조금만 스테이지 넘어가도 현질유도 개심하고 광고만 겁나보게하고 그리고 딜을 무슨 초마다 한번씩 넣는 판정이라 허무하게 죽을때가 너무많음 쓰잘때기없는데 광고넣지말고 부활이나 만들어주지 심지어 갑자기 튕겼다가 초기화될때도 있어서 게임 배껴오는것도 어느정도의 능력이 있어야 가능하다는걸 제대로 보여주는 게임인듯 쨌던 난 이겜 비추,1,2023,5,7,0,부정,[0.9788342]
4,2117이민혁,게임이 안들어가지고 무한으로 팅기며 버그가 많습니다 이렇게 되면 계정이 사용불가인가요 게임 안에서는 경험치가 개를 넘을시 게임에서 팅기고 다시 들어가면 돈 와 아이템이 날아갑니다 광고를 보면 코드를 입력해서 많은 보상을 준다던데 보상을 받으러 들어가면 받다가 팅길시 자기가 가지고 있던 의 자원과 템이 사라지고 에너지도 소멸됨니다 팅길시 게임 삭제도 안됩니다 코드를 잘못 입력하면 갑자기 먹통이 되면서 팅기는데 그건 어떻게 할수없나요,1,2023,5,10,0,부정,[0.7860054]
5,김보라,시간 이내 환불 요청드립니다 애매모호한 버튼을 통해 결제가 유도되므로 원치않는 과금이 되지 않도록 주의가 필요합니다 승인되지 않은 결제가 되지 않도록 확인 과정이 필요합니다 구글 통하여 환불요청하였으나 해당 건에 한하여 개발자 권한으로 이루어진다고 하니 직접 처리 부탁드립니다 자세한 내역 관련하여 메일 드렸습니다,1,2023,5,9,0,부정,[0.60941136]
6,원플루언서,급 보급품에서 파괴의 힘블랙홀 가능한 총만 소원으로 저장해놨는데 막상 나온건 다른거예요 회 안에 반드시 급무기 나오는거여서 저장해놓은 무기가 당연히 나올줄 알았거든요 기껏 긴 기간동앙 열심히 계속 씩 보석 모으고 유료결제하고 만원넘게 쓰고 그랬는데도 왜 파괴자의 신발이 나온거죠 파괴의 힘으로 다시 오류수정해주시고 교체해주세요,1,2023,5,12,0,부정,[0.5809921]
7,흔남,단점 무과금으로 플래이가 넘나 힘들다 스태이지 초반은 무과금으로 플래이해도 쉬운데 점점 갈수록 무과금으로 플레이하기엔 너무 어려워요  할게 없다 무과금으로 플레이하면 스태이지 풀기가 너무 힘들어서 다른모드를 할려는데 모드가 너무 재미가 없어요  광고에서 와이파이가 안돼는 지하철에서 심심하다구요 이 게임을해보세요 라는 내용광고가 있는데 근데 이 게임이 오프라인 게임이 아닌데 그런 광고가 나와서 정말 불편하네요ㅡㅡ 새로운 모드가 생기면 할거같네요,1,2023,4,23,0,부정,[0.5357894]
8,Boo Kim,아이템이 가방에 들어가는 걸 보여주는 굳이 전에는 없던 효과를 만들었는데 그 시간동안 화면이 넘어가지지 않게 해놔서 결과적으로 로딩시간만 늘어나게 되었다 사용자 친화적이지 않고 플레이 시간만 늘리려는 개발방향을 확인할 수 있었음,1,2023,3,26,0,부정,[0.59322464]
9,박성빈,솔직히 재밌어요 무료로 주는 보상도 많고 하지만 어느순간부터 질리기 시작하더라고요 챕터 깨는데 빨라야 분 이고 길면 분이나 걸리니까 좀 질려요 그리고 챕터가 높아질수록 난이도도 더어려워져 좋은 장비를 낄려면 과금이 필요합니다 그리고보석으로 번을 뽑아야 겨우 좋은 장비를 얻을 수 있어요 운이 좋으면 빨리 획득이 되긴됌 그래서 번번 이정도만 줄여줘도 감사할거같네요 그리고 가끔 급 무기를 무료로 얻을수 있는 이벤트를 열면 좋겠습니다 그리고 제가 일전 급 장비를 겨우 얻었는데 하필 제가 뽑은 급의 장비가 같은게 나왔거든요 그것도 회 뽑기 맨날 돌려서 얻은 그것도 검 파괴의힘도 아닌 쓰레기중의 쓰레기인 파괴자의 신발이 나왔어요 물론 그럴 수도 있지만 무과금으로서 엄청나게 짜증이 났습니다 적어도 중복은 안 나와야죠어떻게 쓰레기장비인 걸 개나 나오게 하나요 별개 준다 개같 게다가 와이파이 없는 상태에서 메인도전 깨면 보상안받아짐너무하네,1,2023,3,29,0,부정,[0.5193252]
10,권재이,아니 광고에서 무기가 겁나쌔고 재미있어보여서 깔고 광고가하라고했던걸 똑같이했습니다 근데 광고에서 보던거와는 달리 무기가 엄청 약하고 왜 약한지 찾아봤는데 광고 무기가 만렙이여서 엄청나게 쌘거였습니다 그래서 탕탕특공대 추천 안합니다 그래서 탕탕특공대 특징광고많이나오고 재미있어보입니다 근데 막상해보면 재미도없고 광고에서 보던거와는달리 무기가 만렙이아니여서 약합니다 끝,1,2023,4,15,0,부정,[0.924695]
11,sh s,이벤트 기간에 비해 얻을수있는 보상이나 패키지구매 종류나 횟수가 적어요 기간만 뭐하러 이렇게 길게 만든건지 이번 이벤트는 효율성도 떨어지고 그만큼 재미가 있지도 않아요  펫도 효율적이지 못한거같아요 종류가 중구난방이라 얻는것도 힘들고 굳이 이럴거면 왜 개발한건가싶음,1,2023,5,3,0,부정,[0.9264248]
12,강석문,특공대 에너지 에센스도 몰수 하고 한 캐릭터에 레벨 몰아주는 기능 뺐다 옴겼다하는 아이템이나 펫들 하는것처럼 만들어주세요 캐릭터는 계속나오는데 캐릭터에 이 기능이 없는건 많이 불만족스럽네요 어차피 캐릭터는 계속 팔립니다 등급 승급은 조각으로 모으는거니 그대로가고 에너지에센스 레벨만 입니다,1,2023,5,5,0,부정,[0.7360237]
13,매터,진짜 최악이네요 게임 자체는 정말 재밌었는데 몇달전부터 게임시작을 누르면 검은 화면만 나오고 문의나 카페에 글을 올려보기도 했는데 고쳐주지고 않아요 진짜 겁나 짜증나네요 이거때문에 몇달동안 출석만 하고 그마저 고쳐주지 않아서 흥미가 떨어져서 접속도 잘 안합니다,1,2023,4,16,0,부정,[0.9791012]
14,카드충 유승군고구마,현질유도가 너무 심합니다 광고도 쓰레기같이 만들고 이제 현질유도가심한이유를 설명해드리겠습니다 첫째최대한 안좋은 장비가 나오게하고 엘리트급은 보석이 너무많이 필요합니다둘째첫째때문에 현질을 하지 못하게 되는사람들은 챕터를 잘 넘어갈수가 없는데다가 이벤트같은 경우에도 얻는데 필요한것이 너무많이 필요하게되어 내가 원하는 장비를 얻을수가 없습니다 자신이 원하는 것을 얻을수가 없습니다이런 심각한 문제상황이 있는데도 신경을 많이 안쓰는회사께 조금만 더 현질을 낮게하게 만들어주시고 이 게임을 하는 사람들에게 도움이 많이 있게 해주었으면 좋겠습니다빠른 시일내에 이 문제들이 고쳐졌으면 합니다이런거 가지고 메일함에 죄송합니다 하면서 보석등등 주는것은 하지 않고 급의 보석 개수를 낮추어 주거나 무과금들을 위해 이벤트에 좋은것을 뽑는데 필요한 것을 많이 줄여주었으면 합니다,1,2023,5,1,0,부정,[0.9753263]
15,고기두근,이벤트하고 인간적으로 아이템 선택하는거는 하루 더줘야하는거 아냐 아이템선택도 이벤과 같이 끝나면 끝까지 하나라도 더 건지려고 졸라게 이벤 하다가 한순간 놓치면 일주일 뼈빠지게 이벤한게 다 날라가네 ㅜㅜ 하기싫어진다 다른게임은 일 아이템 선택하는시간 더주는데 현타온다 삭제하련다,1,2023,5,9,0,부정,[0.9752977]
16,터키잉글리시TurkeyEnglish,이 게임은 재미가 하나도 없습니다 시간이 오래걸리고 게임의 대한 광고가 너무 많이 나와서 그래도 설치했더니 설치를 해도 광고가 원래 나오나요 정말 재미없고 뽑기도 연을 했는데 어떻게 하나가 나오지 않습니까,1,2023,5,6,0,부정,[0.97809976]
17,스파하는 BOSS,진짜로 광고 드릅게 많이 나오고 게임이 너무 광고랑 다름 진짜 구라 광고는 넘한거 아님 그리고 유치하고 뭘추가도 안하고 운빨현질유도 에다가 심지어 다른 게임에서도 광고가 드릅게 많이 나와요진짜 솔직히 말하면 이겜이 너무 재미가 없고 지루하고 똑같은 것만 반복하고 솔까 이제는 나락 갔잤음 나는 진짜 광고나 현질유도좀 줄여주면 괜찮을것 같은데 왜 않줄여 주는지 몰겠음 어쨌든 너무 노잼이다ㅃㅇ,1,2023,4,22,0,부정,[0.9791266]
18,olr l,내가 운이 없는건가 게임이 억까하는건가 헷갈리는 게임 현질 유도는 현질 유도대로 심하고 뽑기 운은 극악에 인게임에서 럭키박스는 몇판 내내 신발 패시브만 뜨고 심지어 잭팟터졌는데 개 똑같은 패시브에 다른 하나도 쓸모없는 패시브임 레벨업시 스킬 선택에서 내가 원하는 스킬이 한번에 나오는 걸 본 적이 없고 진화에서 몬스터 잡았을때 일정 확률로 아이템 뜨는건 없다시피 뜨지만 친구 폰으로 확인한 결과 친구 폰에서는 자석과 폭탄 고기가 맵에 자주 보일정도로 많이 나옴 재밌는 재미없든 리뷰 잘 안쓰는데 게임이 억까해서 화나서 리뷰 쓰는거 처음임 확률 쪽으로 이야기를 했는데 돌아오는 답변은 스펙을 업그레이드 하라는 소리네요 그냥 딜찍누하라는 소린가,1,2023,4,7,0,부정,[0.9767059]
19,임Jk,파괴자의벨트 레전드 만들었는데  마리 잡으면 경화상태가 된다고 하는데 눈으로 숫자만 보고있기도 그렇고 경화상태가 되면 어떤 외형상 임팩트효과라도 줘야 아 경화상태구나 라고 알겠는데 아무런 눈에 보이는 표시가 없어서 기껏 현질해서 만들었는데 템 사용하는데 허무하네요 경화상태의 외형상 초간 임팩트 효과라도 좀 그래야 사용자가 알수있지않을까요,1,2023,5,2,0,부정,[0.6853466]
20,김래윤래윤,챕터 뭡니까 게임을 이렇게 어렵게 만드는게 어딨습니까 잠몹도 보스도 어떻게 다 어렵네 그리고급 뽑는데 보상이 그렇게 짭잘한데 회내 급 이딴게임할바엔 진짜 뱀파이어 서바이벌 이나 핀볼도사하는게 배아니만배 낮겠네 진짜 속으로는점도 더 넘지만 점점 까지만 되니까 점입니다 그리고 메일보상도 너무 짭짤합니다 무슨 보석 평균개를 주지 딴게임은 평균개 주는데 휴 쿠폰코드 보상도 이게 보상인가 싶네요 평균개가 말이되요ㅋㅋ 다른게임은 평균개인데 이정도면 현질 하라는듯 전 이게임 진짜 꽝입니다 꽝,1,2023,4,15,0,부정,[0.9496413]
21,박성훈,버그도 심하구요 무과금게임인데도 합성 시키기 엄청 힘들고 상식적으로 깨기까지 보석 안쓰고는 부활은 못 쓰고 부활권 있으면 머합니까 보니까 다른쪽에 비슷한 게임 겁나 많더만요 이따구로 만들지마세요 욕나오게 하지마세요,1,2023,5,8,0,부정,[0.9772945]
